('18428-AI测试工程师', '技术类', '深圳', '2018-08-15')
('OMG097-高级算法工程师（深圳）', '技术类', '深圳', '2018-08-15')
('25926-NLP工程师（上海）', '技术类', '上海', '2018-08-15')
('27092-机器学习系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('24491-海外市场大数据分析师（深圳）', '产品/项目类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-web前端开发工程师', '技术类', '深圳', '2018-08-15')
('28603-113 微信支付核心支付开发工程师(深圳)', '技术类', '深圳', '2018-08-15')
('18428-AI测试工程师', '技术类', '深圳', '2018-08-15')
('OMG097-高级算法工程师（深圳）', '技术类', '深圳', '2018-08-15')
('25926-NLP工程师（上海）', '技术类', '上海', '2018-08-15')
('27092-机器学习系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG12-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-运维开发工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-web前端开发工程师', '技术类', '深圳', '2018-08-15')
('28603-113 微信支付核心支付开发工程师(深圳)', '技术类', '深圳', '2018-08-15')
('18428-AI测试工程师', '技术类', '深圳', '2018-08-15')
('OMG097-高级算法工程师（深圳）', '技术类', '深圳', '2018-08-15')
('25926-NLP工程师（上海）', '技术类', '上海', '2018-08-15')
('27092-机器学习系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG12-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG07-高级系统测试工程师', '技术类', '深圳', '2018-08-15')
('SNG17-手Q轻游戏平台后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('GY0-web前端开发工程师', '技术类', '深圳', '2018-08-15')
('28603-113 微信支付核心支付开发工程师(深圳)', '技术类', '深圳', '2018-08-15')
('18428-AI测试工程师', '技术类', '深圳', '2018-08-15')
('OMG097-高级算法工程师（深圳）', '技术类', '深圳', '2018-08-15')
('25926-NLP工程师（上海）', '技术类', '上海', '2018-08-15')
('27092-机器学习系统开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
('MIG12-业务运维工程师（深圳）', '技术类', '深圳', '2018-08-15')
('SNG07-高级系统测试工程师', '技术类', '深圳', '2018-08-15')
('WXG08-113 微信搜索基础后台开发工程师（深圳）', '技术类', '深圳', '2018-08-15')
